Part Number,Unit Of Measure,Default Warehouse,Description,Default Bin,Shelf Life,List Price,Rotable Part,Serialized Part,Taxable
066-14100,EA,LIFT-WHSE,Brake Pad,LM3-2-3,,20.75,0,0,1
105-00200/MS28775-224,EA,LIFT-WHSE,Brake Rivets - 105-00200,LM2-5-6,,20.75,0,0,1
15400032,EA,LIFT-WHSE,Oetiker Clamp,LM2-6-1,,2.03,0,0,1
156E66B1,EA,LIFT-WHSE,Main Tire,LM1-4-0,,120.20,0,0,1
159-4629,EA,LIFT-WHSE,Microswitch,LM2-4-4,,7.71,0,0,1
164-24400,EA,LIFT-WHSE,Brake Disc,LM3-5-0,,137.57,0,0,1
16630,EA,LIFT-WHSE,"STATIC WICK, DISCHARGER",LM2-4-2,,48.55,0,0,1
183-00100,EA,LIFT-WHSE,Bleeder Cap,LM2-3-3,,3.33,0,0,1
199-51600,EA,LIFT-WHSE,Brake Master Cylinder Seal Kit,LM3-2-3,,21.09,0,0,1
20-2700-20-02,EA,LIFT-WHSE,Rudder Pedal Adjust Cable Spring,LM2-6-1,,9.18,0,0,1
20-2700-21-00,EA,LIFT-WHSE,Rudder Pedal Adjust Cable,LM3-2-1,,44.55,0,0,1
20-2722-07-00,EA,LIFT-WHSE,Rudder Pedal Torsion Spring,LM2-2-4,,14.64,0,0,1
20-2722-11-04,EA,LIFT-WHSE,Rudder Pedal Eye,LM2-3-4,,8.78,0,0,1
20-2722-21-01,EA,LIFT-WHSE,Rudder Pedal Tread,LM2-5-5,,7.58,0,0,1
2142110,EA,LIFT-WHSE,Lock Nut,LM3-2-4,,2.09,0,0,1
244-16G,EA,LIFT-WHSE,CAMLOCK RECEPTACLES,LM2-4-3,,5.76,0,0,1
301-25-4110,EA,LIFT-WHSE,Window Latch - DA4-5210-21-53x01,LM2-6-1,,54.80,0,0,1
301-25-4115,EA,LIFT-WHSE,Window Latch Receptacle - DA4-5210-20-53x01,LM2-5-5,,16.89,0,0,1
302-013-400,EA,LIFT-WHSE,Nose Tube,LM2-6-0,,76.22,0,0,1
302-246-400,EA,LIFT-WHSE,"Main Tube B15_6,00-6TR20",LM2-7-0,,118.73,0,0,1
302-246-401,EA,LIFT-WHSE,Main Tube,LM3-6-0,,118.73,0,0,1
315-G17-1P,EA,LIFT-WHSE,"Grommet, rubber",LM2-2-2,,0.71,0,0,1
4002-10,EA,LIFT-WHSE,CAMLOCK GROMMET,LM2-3-3,,1.40,0,0,1
40-414A,EA,LIFT-WHSE,Main Wheel Assy,LM2-7-0,,1957.45,0,0,1
40-77,EA,LIFT-WHSE,"Wheel Assy, NLG",LM2-7-0,,718.39,0,0,1
40S5-6D,EA,LIFT-WHSE,Camlock Stud,LM2-6-2,,5.51,0,0,1
420420_1,EA,LIFT-WHSE,Brake Hose Clip,LM3-2-1,,22.16,0,0,1
505C01-2,EA,LIFT-WHSE,Nose Tire,LM1-2-0,,111.40,0,0,1
85094-12,EA,LIFT-WHSE,Hobbs Meter Hour Meter,LM3-4-1,,55.26,0,0,1
91865,EA,LIFT-WHSE,Shock Mount,LM2-6-1,,16.00,0,0,1
951789,EA,LIFT-WHSE,Fuel Pump Fitting O-Ring,LM2-2-1,,8.07,0,0,1
9665K24,EA,LIFT-WHSE,Spring,LM2-6-3,,33.68,0,0,1
AER1039,LTR,LIFT-WHSE,Engine Oil (Liter),LM-FLM,,14.80,0,0,1
AN526C1032R8,EA,LIFT-WHSE,Screw|KLX,LM2-3-1,,0.21,0,0,1
BN5389-4-PA,EA,LIFT-WHSE,Washer,LM2-3-1,,0.29,0,0,1
BN9727-M8X35,EA,LIFT-WHSE,Hexagon Head Screw,LM3-3-1,,3.26,0,0,1
C-067,EA,LIFT-WHSE,Lock Nut,LM3-3-1,,15.11,0,0,1
C-344,EA,LIFT-WHSE,Washer,LM2-5-5,,1.42,0,0,1
CAV-180,EA,LIFT-WHSE,Fuel Drain,LM2-5-6,,16.32,0,0,1
CCA-1550,EA,LIFT-WHSE,Fuel Drain,LM2-3-3,,11.22,0,0,1
